objectID, primaryImageSmall
436011, https://images.metmuseum.org/CRDImages/ep/web-large/EP1059.jpg
436012, https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-031.jpg
436013, https://images.metmuseum.org/CRDImages/ep/web-large/DP290289.jpg
436014, https://images.metmuseum.org/CRDImages/ep/web-large/DT1961.jpg
436015, https://images.metmuseum.org/CRDImages/ep/web-large/DT1975.jpg
436016, https://images.metmuseum.org/CRDImages/ep/web-large/DT1960.jpg
436017, https://images.metmuseum.org/CRDImages/ep/web-large/DT1962.jpg
436018, https://images.metmuseum.org/CRDImages/ep/web-large/DP-1275-001.jpg
436019, https://images.metmuseum.org/CRDImages/ep/web-large/DT1968.jpg
436020, https://images.metmuseum.org/CRDImages/ep/web-large/DP302935.jpg
436021, https://images.metmuseum.org/CRDImages/ep/web-large/DP-24650-001.jpg
436022, https://images.metmuseum.org/CRDImages/ep/web-large/DP124050.jpg
436023, https://images.metmuseum.org/CRDImages/ep/web-large/DT1964.jpg
436024, https://images.metmuseum.org/CRDImages/ep/web-large/DT2147.jpg
436025, https://images.metmuseum.org/CRDImages/ep/web-large/DP-25139-001.jpg
436026, https://images.metmuseum.org/CRDImages/ep/web-large/ep29.100.121.bw.R.jpg
436027, https://images.metmuseum.org/CRDImages/ep/web-large/ep29.100.123.bw.R.jpg
436028, https://images.metmuseum.org/CRDImages/ep/web-large/DP-22882-001.jpg
436030, https://images.metmuseum.org/CRDImages/ep/web-large/DP-24386-001.jpg
436032, https://images.metmuseum.org/CRDImages/ep/web-large/SF 11.126.2.jpg
436033, https://images.metmuseum.org/CRDImages/ep/web-large/DP278979.jpg
436034, https://images.metmuseum.org/CRDImages/ep/web-large/DP280360.jpg
436035, https://images.metmuseum.org/CRDImages/ep/web-large/DP280362.jpg
436036, https://images.metmuseum.org/CRDImages/ep/web-large/DP280918.jpg
436037, https://images.metmuseum.org/CRDImages/ep/web-large/DP280358.jpg
436038, https://images.metmuseum.org/CRDImages/ep/web-large/DP280784.jpg
436039, https://images.metmuseum.org/CRDImages/ep/web-large/DP159770.jpg
436040, https://images.metmuseum.org/CRDImages/ep/web-large/DP280790.jpg
436041, https://images.metmuseum.org/CRDImages/ep/web-large/DP159774.jpg
436042, https://images.metmuseum.org/CRDImages/ep/web-large/DP280356.jpg
436043, https://images.metmuseum.org/CRDImages/ep/web-large/DP278968.jpg
436044, https://images.metmuseum.org/CRDImages/ep/web-large/DP280788.jpg
436045, https://images.metmuseum.org/CRDImages/ep/web-large/DP278975.jpg
436046, https://images.metmuseum.org/CRDImages/ep/web-large/DP280599.jpg
436047, https://images.metmuseum.org/CRDImages/ep/web-large/DP159769.jpg
436048, https://images.metmuseum.org/CRDImages/ep/web-large/ep71.1.bw.R.jpg
436049, https://images.metmuseum.org/CRDImages/ep/web-large/DT211613.jpg
436050, https://images.metmuseum.org/CRDImages/ep/web-large/DP-24194-001.jpg
436051, https://images.metmuseum.org/CRDImages/ep/web-large/DT8827.jpg
436052, https://images.metmuseum.org/CRDImages/ep/web-large/DP-19298-001.jpg
436053, https://images.metmuseum.org/CRDImages/ep/web-large/DP-19502-001.jpg
436054, https://images.metmuseum.org/CRDImages/ep/web-large/DT354152.jpg
436055, https://images.metmuseum.org/CRDImages/ep/web-large/ep41.100.32.bw.R.jpg
436056, https://images.metmuseum.org/CRDImages/ep/web-large/DT8828.jpg
436057, https://images.metmuseum.org/CRDImages/ep/web-large/DP167135.jpg
436058, https://images.metmuseum.org/CRDImages/ep/web-large/94566.jpg
436059, https://images.metmuseum.org/CRDImages/ep/web-large/ep45.110.4a.R.jpg
436060, https://images.metmuseum.org/CRDImages/ep/web-large/DP143164.jpg
436061, https://images.metmuseum.org/CRDImages/ep/web-large/DP143208.jpg
436062, https://images.metmuseum.org/CRDImages/ep/web-large/DP143163.jpg
436063, https://images.metmuseum.org/CRDImages/ep/web-large/DP146442.jpg
436064, https://images.metmuseum.org/CRDImages/ep/web-large/DP146445.jpg
436065, https://images.metmuseum.org/CRDImages/ep/web-large/DP146486.jpg
436066, https://images.metmuseum.org/CRDImages/ep/web-large/57117.jpg
436067, https://images.metmuseum.org/CRDImages/ep/web-large/ep95.14.68.R.jpg
436068, https://images.metmuseum.org/CRDImages/ep/web-large/DP261714.jpg
